,titolo,recensione_voto_numerico,recensione_voto_parola,numero_recensioni,date,permanenza,prezzo,indirizzo,valutazione
132,Domus 21 Luxury Suites,"9,2",Eccezionale,634 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€338,"Pantheon, Roma - In pieno centro",5
133,Bettoja Mediterraneo Hotel,"8,7",Fantastico,2.813 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€198,"Stazione centrale Roma Termini, Roma - In pieno centro",4
134,Argentina Residenza Style Hotel,"9,2",Eccezionale,463 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€208,"Pantheon, Roma - In pieno centro",4
135,Hotel Homs,"8,2",Fantastico,78 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€152,"Piazza di Spagna, Roma - In pieno centro",4
136,Hostel Trastevere,"7,7",Ottimo,4.474 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€163,"Trastevere, Roma - A 0,9 km dal centro",2
137,Cardinal St Peter Hotel,"7,5",Ottimo,3.816 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€162,"Aurelio e Monteverde, Roma - A 2,1 km dal centro",4
138,Leonardo Boutique Hotel Rome Termini,"8,4",Fantastico,1.729 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€185,"Stazione centrale Roma Termini, Roma - In pieno centro",4
139,citizenM Rome Isola Tiberina,"9,0",Eccezionale,2.197 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€304,"Pantheon, Roma - In pieno centro",4
140,Orazio Palace Hotel,"8,9",Fantastico,1.678 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€204,"Città del Vaticano, Roma - In pieno centro",4
141,Holiday Inn Rome - Eur Parco Dei Medici By IHG,"8,0",Fantastico,4.844 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€190,"Roma Ovest, Roma - A 8,4 km dal centro",4
142,Hotel Relais Dei Papi,"8,8",Fantastico,34 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€226,"Città del Vaticano, Roma - In pieno centro",3
